Runs,Day 1-7,Day 8-14,Day 15-21,Day 22-28,Day 29-35
R1,0,5,25,32,
R2,0,10,32,,
R3,10,70,,,
R4,0,0,,,
R5,0,2,16,25,20
R6,0,2,,,
R7,0,0,8,13,10
R8,0,0,12,,
R9,13,50,100,118,117
R10,8,23,80,110,72
R11,0,0,5,8,
R12,0,0,11,15,
R13,0,0,12,17,
R14,6,25,41,52,
R15,0,13,19,26,
R16,0,25,43,48,
R17,0,18,27,35,
R18,0,7,30,32,
R19,13,65,90,140,
R20,3,60,,,
R21,0,9,23,42,30
R22,19,70,125,147,98
R23,0,6,21,34,
R24,7,20,32,44,29
R25,0,15,38,,
R26,0,6,36,68,
R27,0,7,,,
R28,0,22,,,
R29,0,0,10m/s,18,15
R30,0,4,,,
